DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn	 q0	 q1	 q2	 q3
2	 3.969600	 0.250798	 -0.062453	 -0.102339	 -1.433018	 -8.821583	 3.880393	 0.044729	 0.008147	 0.015778	 0.394531	 0.388916	 0.149658	 0.999997	 0.002188	 -0.000547	 -0.000892
1	 3.980000	 0.227404	 0.038474	 0.396762	 0.879936	 -8.792350	 3.988848	 -0.013409	 0.041611	 0.025606	 0.355225	 0.513428	 0.075928	 0.999992	 0.001983	 0.000343	 0.003462
2	 3.980000	 0.000000	 -0.000000	 -0.000000	 -1.404586	 -8.766639	 3.907163	 0.041933	 0.008634	 0.010728	 0.394287	 0.391113	 0.140381	 1.000000	 0.000000	 -0.000000	 -0.000000
1	 3.990000	 -0.000000	 0.000000	 -0.000000	 0.862170	 -8.762076	 4.050052	 -0.042258	 0.047358	 0.027595	 0.348633	 0.515625	 0.084473	 1.000000	 -0.000000	 0.000000	 0.000000
2	 3.990000	 0.011966	 0.002871	 -0.008660	 -1.384568	 -8.581393	 3.939785	 0.030621	 0.013883	 0.006629	 0.392334	 0.384766	 0.140625	 1.000000	 0.000104	 0.000025	 -0.000076
1	 3.990000	 -0.027026	 0.023120	 -0.017014	 0.832686	 -8.789195	 4.066937	 -0.060392	 0.047714	 0.026941	 0.355225	 0.515625	 0.078125	 1.000000	 -0.000236	 0.000202	 -0.000148
2	 4.000000	 0.024218	 0.004948	 -0.015415	 -1.419414	 -8.568560	 3.921068	 0.022074	 0.010207	 0.005798	 0.396484	 0.388916	 0.140381	 1.000000	 0.000211	 0.000043	 -0.000135
1	 4.000000	 -0.063190	 0.042356	 0.071498	 0.791933	 -8.873448	 4.039762	 -0.078059	 0.038308	 0.023995	 0.357422	 0.515625	 0.088867	 1.000000	 -0.000552	 0.000369	 0.000624
2	 4.010000	 0.028764	 0.001404	 -0.022949	 -1.521860	 -8.576621	 3.961130	 0.014888	 0.007922	 -0.005422	 0.394287	 0.388916	 0.142822	 1.000000	 0.000251	 0.000012	 -0.000200
1	 4.010000	 -0.101193	 0.058548	 0.058890	 0.712827	 -8.998831	 3.995740	 -0.082150	 0.030724	 0.019090	 0.353027	 0.513428	 0.082275	 0.999999	 -0.000883	 0.000510	 0.000514
2	 4.010000	 0.033163	 -0.006032	 -0.030947	 -1.542567	 -8.590209	 3.947162	 0.008503	 0.007262	 -0.016087	 0.392334	 0.386719	 0.140625	 1.000000	 0.000289	 -0.000053	 -0.000270
1	 4.020000	 -0.138466	 0.076479	 0.228295	 0.661466	 -9.139690	 3.924814	 -0.073092	 0.028575	 0.018331	 0.355225	 0.515625	 0.084473	 0.999997	 -0.001210	 0.000665	 0.001993
2	 4.020000	 0.038222	 -0.020551	 -0.045703	 -1.518430	 -8.669497	 3.989949	 0.017790	 0.011930	 -0.032509	 0.394287	 0.388916	 0.142822	 1.000000	 0.000333	 -0.000179	 -0.000399
1	 4.030000	 -0.159417	 0.092325	 0.226115	 0.669928	 -9.259513	 3.872335	 -0.044155	 0.014467	 0.026117	 0.355225	 0.513428	 0.080322	 0.999997	 -0.001393	 0.000803	 0.001974
2	 4.030000	 0.047602	 -0.038315	 -0.069968	 -1.321604	 -8.812669	 3.962331	 0.023131	 0.025355	 -0.048132	 0.392334	 0.388916	 0.138184	 1.000000	 0.000415	 -0.000335	 -0.000610
1	 4.040000	 -0.158240	 0.108888	 0.382138	 0.785414	 -9.184655	 3.819759	 0.011566	 -0.008647	 0.041571	 0.355225	 0.511230	 0.080322	 0.999993	 -0.001384	 0.000946	 0.003336
2	 4.040000	 0.057029	 -0.058981	 -0.102038	 -1.104610	 -8.892802	 4.022888	 0.031260	 0.038302	 -0.058691	 0.390137	 0.391113	 0.142822	 0.999999	 0.000497	 -0.000515	 -0.000890
1	 4.040000	 -0.132970	 0.126019	 0.413235	 0.999441	 -9.053199	 3.711629	 0.059864	 -0.036803	 0.053728	 0.355225	 0.511230	 0.078125	 0.999992	 -0.001164	 0.001096	 0.003607
2	 4.050000	 0.074053	 -0.083913	 -0.143979	 -0.951149	 -8.844056	 4.055071	 0.036989	 0.046376	 -0.070905	 0.390137	 0.386719	 0.140625	 0.999999	 0.000645	 -0.000733	 -0.001256
1	 4.050000	 -0.097653	 0.141065	 0.532045	 1.225159	 -8.858374	 3.741303	 0.093110	 -0.057209	 0.063916	 0.357422	 0.511230	 0.084473	 0.999988	 -0.000858	 0.001227	 0.004644
2	 4.059600	 0.078220	 -0.108104	 -0.189653	 -0.821323	 -8.792927	 4.002419	 0.023694	 0.062167	 -0.077718	 0.394287	 0.391113	 0.147217	 0.999998	 0.000681	 -0.000945	 -0.001654
1	 4.059600	 -0.054980	 0.154108	 0.578931	 1.331749	 -8.697578	 3.830001	 0.099738	 -0.066246	 0.058520	 0.359619	 0.513428	 0.075928	 0.999986	 -0.000487	 0.001342	 0.005053
2	 4.059600	 -0.000000	 -0.000000	 0.000000	 -0.933102	 -8.776243	 4.035737	 0.002085	 0.076128	 -0.073887	 0.396729	 0.386963	 0.145020	 1.000000	 -0.000000	 -0.000000	 0.000000
1	 4.070000	 -0.000000	 0.000000	 0.000000	 1.339173	 -8.551191	 3.983215	 0.058622	 -0.065220	 0.048471	 0.355225	 0.513428	 0.084473	 1.000000	 -0.000000	 0.000000	 0.000000
2	 4.070000	 -0.017690	 -0.016775	 -0.045238	 -1.119002	 -8.748569	 3.986692	 -0.021916	 0.072855	 -0.065501	 0.387939	 0.388916	 0.145020	 1.000000	 -0.000154	 -0.000146	 -0.000395
1	 4.080000	 -0.012210	 0.009306	 0.031915	 1.256235	 -8.497516	 4.157080	 -0.017980	 -0.053294	 0.043666	 0.355469	 0.509033	 0.075928	 1.000000	 -0.000107	 0.000081	 0.000279
2	 4.080000	 -0.048961	 -0.027746	 -0.083585	 -1.339421	 -8.710116	 3.914982	 -0.050279	 0.067114	 -0.054393	 0.396729	 0.384766	 0.140625	 1.000000	 -0.000427	 -0.000242	 -0.000730
1	 4.090000	 -0.069225	 0.019682	 0.125831	 1.079413	 -8.461950	 4.270930	 -0.107234	 -0.034602	 0.037258	 0.355225	 0.513428	 0.084473	 0.999999	 -0.000604	 0.000171	 0.001098
2	 4.090000	 -0.093616	 -0.039435	 -0.113660	 -1.486872	 -8.684520	 3.921576	 -0.081826	 0.054854	 -0.045516	 0.394287	 0.388916	 0.142822	 0.999999	 -0.000817	 -0.000343	 -0.000992
1	 4.090000	 -0.157089	 0.037796	 0.132517	 0.973231	 -8.573956	 4.249253	 -0.181322	 -0.013995	 0.045160	 0.355225	 0.513428	 0.082275	 0.999998	 -0.001371	 0.000328	 0.001157
2	 4.100000	 -0.144934	 -0.048091	 -0.120615	 -1.449253	 -8.748586	 3.862079	 -0.098492	 0.033977	 -0.036706	 0.394287	 0.393311	 0.147217	 0.999999	 -0.001265	 -0.000418	 -0.001053
1	 4.100000	 -0.261377	 0.062305	 0.233979	 1.020732	 -8.699339	 4.195932	 -0.215635	 0.009607	 0.046931	 0.353027	 0.513428	 0.088867	 0.999995	 -0.002282	 0.000539	 0.002043
2	 4.110000	 -0.195955	 -0.059875	 -0.129182	 -1.387959	 -8.815266	 3.886681	 -0.100471	 0.015608	 -0.027870	 0.392090	 0.391113	 0.151855	 0.999998	 -0.001711	 -0.000521	 -0.001128
1	 4.110000	 -0.361730	 0.089010	 0.228500	 1.005844	 -8.810026	 4.038449	 -0.210103	 0.013794	 0.051830	 0.355469	 0.511230	 0.088867	 0.999993	 -0.003158	 0.000770	 0.001996
2	 4.110000	 -0.241939	 -0.070142	 -0.131465	 -1.330985	 -8.784231	 4.057903	 -0.090735	 -0.005225	 -0.018656	 0.392334	 0.388916	 0.140625	 0.999997	 -0.002112	 -0.000610	 -0.001149
1	 4.120000	 -0.438294	 0.114604	 0.319729	 0.999427	 -8.944052	 4.032670	 -0.159435	 0.017667	 0.037317	 0.355225	 0.511230	 0.082275	 0.999988	 -0.003828	 0.000989	 0.002794
2	 4.120000	 -0.285795	 -0.078321	 -0.124220	 -1.235332	 -8.785547	 4.146830	 -0.089530	 -0.012876	 -0.006708	 0.389893	 0.393311	 0.147217	 0.999996	 -0.002495	 -0.000681	 -0.001086
1	 4.130000	 -0.487223	 0.127436	 0.317346	 0.973292	 -9.055581	 4.029387	 -0.102341	 0.006158	 0.023213	 0.357666	 0.509033	 0.080322	 0.999986	 -0.004255	 0.001100	 0.002774
2	 4.130000	 -0.316052	 -0.086373	 -0.120028	 -1.148175	 -8.826142	 4.227396	 -0.070283	 -0.010572	 -0.007702	 0.390381	 0.384766	 0.149658	 0.999995	 -0.002759	 -0.000751	 -0.001050
1	 4.140000	 -0.509700	 0.129124	 0.373775	 0.980020	 -9.088584	 4.081454	 -0.038525	 -0.018838	 0.015626	 0.355225	 0.513428	 0.084473	 0.999984	 -0.004452	 0.001112	 0.003267
2	 4.140000	 -0.337789	 -0.098379	 -0.117774	 -1.076110	 -8.823712	 4.234164	 -0.042308	 -0.011777	 -0.015965	 0.392334	 0.388916	 0.140625	 0.999995	 -0.002949	 -0.000855	 -0.001030
1	 4.140000	 -0.507667	 0.127052	 0.393902	 1.056006	 -9.130229	 4.212138	 0.008856	 -0.038791	 0.009819	 0.359619	 0.513428	 0.084473	 0.999984	 -0.004434	 0.001093	 0.003442
2	 4.150000	 -0.000000	 -0.000000	 -0.000000	 -1.079645	 -8.836419	 4.192573	 -0.018303	 -0.008454	 -0.024323	 0.392334	 0.386963	 0.147461	 1.000000	 -0.000000	 -0.000000	 -0.000000
1	 4.150000	 0.000000	 0.000000	 0.000000	 1.143164	 -9.079067	 4.302770	 0.031515	 -0.055440	 0.012512	 0.359863	 0.509033	 0.082275	 1.000000	 0.000000	 0.000000	 0.000000
2	 4.160000	 -0.006064	 -0.024659	 -0.001530	 -1.142159	 -8.830287	 4.220363	 -0.008801	 -0.019059	 -0.041722	 0.392334	 0.386963	 0.149658	 1.000000	 -0.000053	 -0.000215	 -0.000013
1	 4.160000	 0.015319	 -0.002806	 0.029608	 1.287606	 -8.931189	 4.332778	 0.038704	 -0.054540	 0.015607	 0.357666	 0.506836	 0.084473	 1.000000	 0.000134	 -0.000024	 0.000258
2	 4.160000	 -0.013396	 -0.049805	 0.004855	 -1.083397	 -8.860743	 4.112480	 -0.005825	 -0.030964	 -0.045683	 0.394531	 0.386963	 0.145020	 1.000000	 -0.000117	 -0.000435	 0.000042
