DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn	 q0	 q1	 q2	 q3
1	 117467.275000	 -0.004602	 0.000463	 -0.066643	 -0.016175	 -0.058696	 9.848879	 -0.000049	 0.001934	 0.001723	 1.012207	 0.300781	 -3.379395	 1.000000	 -0.000040	 0.000004	 -0.000582
1	 117467.284000	 -0.003639	 -0.000396	 -0.071918	 0.013409	 -0.029573	 9.847619	 0.005499	 -0.000019	 0.000193	 1.010254	 0.300781	 -3.377197	 1.000000	 -0.000032	 -0.000003	 -0.000628
1	 117467.294000	 -0.005604	 0.001391	 -0.073979	 0.012755	 -0.058521	 9.850933	 -0.001665	 0.005285	 -0.004030	 1.014404	 0.296631	 -3.383545	 1.000000	 -0.000049	 0.000012	 -0.000646
1	 117467.294000	 -0.004364	 -0.000378	 -0.081133	 -0.014147	 -0.032384	 9.816532	 0.005611	 -0.002057	 -0.003357	 1.010254	 0.298584	 -3.383789	 1.000000	 -0.000038	 -0.000003	 -0.000708
1	 117467.305000	 -0.004685	 -0.000184	 -0.080408	 0.012630	 -0.058055	 9.850936	 0.001783	 0.001927	 0.001787	 1.008057	 0.298584	 -3.375000	 1.000000	 -0.000041	 -0.000002	 -0.000702
1	 117467.315000	 -0.005139	 -0.000963	 -0.082437	 -0.015799	 0.000509	 9.842255	 0.001833	 -0.000006	 0.000064	 1.012207	 0.298584	 -3.379395	 1.000000	 -0.000045	 -0.000008	 -0.000719
1	 117467.324000	 -0.003654	 -0.001754	 -0.083340	 0.010541	 -0.054265	 9.879975	 0.005562	 -0.000124	 -0.001634	 1.010254	 0.298584	 -3.381592	 1.000000	 -0.000032	 -0.000015	 -0.000727
1	 117467.334000	 -0.004232	 -0.000733	 -0.087384	 0.012845	 -0.028196	 9.847624	 0.001797	 0.003756	 0.001684	 1.010254	 0.298584	 -3.381592	 1.000000	 -0.000037	 -0.000006	 -0.000763
1	 117467.345000	 -0.004491	 -0.000645	 -0.088404	 -0.017041	 -0.056944	 9.848888	 0.001910	 0.001718	 -0.001867	 1.008057	 0.300781	 -3.384033	 1.000000	 -0.000039	 -0.000006	 -0.000771
1	 117467.355000	 -0.006054	 0.001057	 -0.093683	 0.039535	 -0.024826	 9.878716	 0.000104	 0.005383	 -0.002139	 1.012207	 0.298584	 -3.379395	 1.000000	 -0.000053	 0.000009	 -0.000818
1	 117467.355000	 -0.005506	 0.000376	 -0.092874	 -0.019138	 -0.024265	 9.874607	 0.003603	 0.000092	 0.001956	 1.010498	 0.294434	 -3.381348	 1.000000	 -0.000048	 0.000003	 -0.000810
1	 117467.364000	 -0.005156	 0.001423	 -0.096250	 0.009927	 -0.024172	 9.876663	 0.003630	 0.003750	 0.001748	 1.006104	 0.296387	 -3.379395	 1.000000	 -0.000045	 0.000012	 -0.000840
1	 117467.374000	 -0.004553	 -0.000239	 -0.097132	 0.011872	 -0.027211	 9.847628	 0.003715	 -0.001947	 -0.001594	 1.010254	 0.298584	 -3.381592	 1.000000	 -0.000040	 -0.000002	 -0.000848
1	 117467.385000	 -0.005033	 -0.000980	 -0.097086	 0.009492	 -0.052748	 9.879984	 0.001770	 0.000098	 0.001891	 1.010254	 0.300781	 -3.388428	 1.000000	 -0.000044	 -0.000009	 -0.000847
1	 117467.395000	 -0.004416	 -0.000895	 -0.098073	 0.013893	 -0.030103	 9.818594	 0.003743	 0.001712	 -0.001802	 1.010254	 0.300781	 -3.377197	 1.000000	 -0.000039	 -0.000008	 -0.000856
