DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn
1	 53213.209600	 0.000788	 -0.000518	 -0.002121	 -0.121133	 -0.300950	 9.818361	 0.003691	 -0.003645	 -0.001809	 0.064941	 0.472900	 -0.292480
1	 53213.219600	 -0.000793	 -0.000679	 -0.002623	 -0.121415	 -0.271511	 9.818035	 0.000003	 -0.000031	 -0.005493	 0.060303	 0.475098	 -0.292480
1	 53213.229600	 0.000281	 -0.000797	 -0.002973	 -0.120962	 -0.300582	 9.818374	 0.005495	 0.000021	 -0.003660	 0.067139	 0.470703	 -0.292480
1	 53213.239600	 -0.000416	 -0.000922	 -0.002611	 -0.121396	 -0.270994	 9.818050	 0.001833	 -0.000007	 -0.003661	 0.062744	 0.472900	 -0.288330
1	 53213.249600	 -0.001038	 -0.000175	 -0.003727	 -0.092201	 -0.270070	 9.847373	 0.001818	 0.001834	 -0.001841	 0.060547	 0.472900	 -0.292480
1	 53213.249600	 -0.000861	 -0.000293	 -0.003375	 -0.121534	 -0.270626	 9.818058	 0.003664	 0.000007	 -0.003661	 0.060303	 0.477295	 -0.294678
1	 53213.259600	 0.000000	 -0.000000	 -0.000000	 -0.121495	 -0.270740	 9.788770	 0.001833	 -0.000007	 -0.003661	 0.062744	 0.472900	 -0.290527
1	 53213.269600	 -0.000697	 -0.000125	 0.000362	 -0.121517	 -0.270259	 9.818069	 0.001833	 -0.000007	 -0.003661	 0.064697	 0.475098	 -0.288330
1	 53213.280000	 -0.001358	 -0.001131	 0.000949	 -0.120956	 -0.299739	 9.789115	 0.001847	 -0.001838	 -0.003651	 0.064697	 0.475098	 -0.290527
1	 53213.289600	 -0.000300	 -0.002116	 0.001320	 -0.121275	 -0.269815	 9.818084	 0.005509	 -0.001810	 -0.003649	 0.062500	 0.477295	 -0.290527
1	 53213.299600	 -0.001891	 -0.001382	 0.003130	 -0.091522	 -0.298437	 9.818452	 -0.000011	 0.001799	 -0.005504	 0.062500	 0.477295	 -0.296875
1	 53213.299600	 -0.001714	 -0.001500	 0.003481	 -0.121298	 -0.269787	 9.788798	 0.003664	 0.000007	 -0.003661	 0.069092	 0.475098	 -0.290527
1	 53213.309600	 -0.001519	 -0.001622	 0.004932	 -0.120867	 -0.298446	 9.818440	 0.003665	 -0.000004	 -0.005492	 0.060303	 0.477295	 -0.288330
1	 53213.319600	 -0.001335	 -0.002613	 0.005313	 -0.150497	 -0.269651	 9.788791	 0.003678	 -0.001824	 -0.003650	 0.064697	 0.475098	 -0.288330
1	 53213.329600	 -0.001201	 -0.001869	 0.007431	 -0.121193	 -0.268904	 9.788824	 0.003651	 0.001827	 -0.005502	 0.062744	 0.470703	 -0.290527
1	 53213.339600	 -0.001001	 -0.001024	 0.010374	 -0.121340	 -0.268608	 9.788830	 0.003647	 0.001870	 0.001822	 0.062744	 0.472900	 -0.292480
1	 53213.349600	 0.000000	 0.000000	 0.000000	 -0.121484	 -0.268388	 9.788834	 0.001821	 0.001802	 -0.007334	 0.064941	 0.470703	 -0.292480
1	 53213.349600	 0.000167	 -0.000148	 -0.000522	 -0.121118	 -0.297119	 9.818478	 0.003665	 -0.000004	 -0.005492	 0.058105	 0.475098	 -0.294678
1	 53213.359600	 0.000379	 -0.001126	 -0.001595	 -0.121491	 -0.267531	 9.818144	 0.003677	 -0.001813	 -0.001819	 0.066895	 0.475098	 -0.292725
1	 53213.369600	 -0.000318	 -0.001251	 -0.001233	 -0.091629	 -0.296486	 9.789225	 0.001833	 -0.000007	 -0.003661	 0.060303	 0.475098	 -0.292480
1	 53213.380000	 -0.001013	 -0.000492	 -0.000262	 -0.150739	 -0.267967	 9.788834	 0.001819	 0.001824	 -0.003672	 0.062744	 0.472900	 -0.288330
1	 53213.389600	 -0.001703	 -0.001490	 0.000130	 -0.121499	 -0.266672	 9.847453	 0.001847	 -0.001838	 -0.003651	 0.064941	 0.472900	 -0.290527
1	 53213.399600	 0.000238	 -0.000762	 -0.001459	 -0.092165	 -0.266186	 9.818193	 0.007313	 0.001856	 -0.005501	 0.060547	 0.470703	 -0.292480
1	 53213.399600	 -0.002208	 -0.000901	 -0.001076	 -0.121523	 -0.266427	 9.818173	 -0.001829	 -0.000036	 -0.003663	 0.064697	 0.479492	 -0.292725
1	 53213.409600	 -0.002002	 -0.002726	 0.000684	 -0.091611	 -0.295182	 9.818550	 0.003692	 -0.003644	 -0.001808	 0.062744	 0.472900	 -0.288330
1	 53213.419600	 -0.000963	 -0.003771	 -0.000692	 -0.120669	 -0.295273	 9.818539	 0.005511	 -0.001831	 -0.007311	 0.064941	 0.472900	 -0.290527
1	 53213.429600	 -0.000000	 -0.000000	 0.000000	 -0.120656	 -0.294829	 9.818552	 0.005480	 0.001853	 -0.003671	 0.062744	 0.472900	 -0.292480
1	 53213.439600	 0.001041	 -0.000141	 -0.000533	 -0.121187	 -0.265093	 9.818213	 0.005496	 0.000011	 -0.005491	 0.064697	 0.477295	 -0.290527
1	 53213.449600	 0.001216	 0.000625	 0.000677	 -0.091432	 -0.294251	 9.760010	 0.003649	 0.001838	 -0.003672	 0.058105	 0.479492	 -0.290527
1	 53213.449600	 0.001393	 0.000507	 0.001028	 -0.121228	 -0.265487	 9.730346	 0.003664	 0.000007	 -0.003661	 0.064941	 0.472900	 -0.288330
1	 53213.460000	 0.001524	 0.001274	 0.003511	 -0.091595	 -0.293308	 9.789322	 0.003649	 0.001838	 -0.003672	 0.062500	 0.475098	 -0.296875
1	 53213.469600	 0.001713	 -0.001495	 0.003078	 -0.150521	 -0.264307	 9.818222	 0.003709	 -0.005497	 -0.005458	 0.062500	 0.475098	 -0.288330
1	 53213.479600	 0.000988	 0.001006	 0.003819	 -0.091483	 -0.292080	 9.847928	 0.001789	 0.005485	 -0.003695	 0.064941	 0.468506	 -0.294678
1	 53213.489600	 0.002047	 0.000022	 0.004190	 -0.150622	 -0.264150	 9.788939	 0.005510	 -0.001809	 -0.003649	 0.064697	 0.477295	 -0.290527
1	 53213.499600	 0.002250	 0.000736	 0.002120	 -0.121319	 -0.263308	 9.788974	 0.003650	 0.001827	 -0.005503	 0.062744	 0.470703	 -0.290527
1	 53213.499600	 0.003294	 0.001499	 0.002431	 -0.120985	 -0.292232	 9.789342	 0.005480	 0.001853	 -0.003671	 0.062500	 0.477295	 -0.294678
1	 53213.509600	 -0.000000	 0.000000	 -0.000000	 -0.150820	 -0.263047	 9.788966	 0.003664	 0.000007	 -0.003661	 0.058350	 0.470703	 -0.290527
1	 53213.519600	 0.000177	 -0.000118	 0.000351	 -0.120568	 -0.320858	 9.789722	 0.003664	 0.000007	 -0.003661	 0.062744	 0.470703	 -0.288330
1	 53213.529600	 0.001231	 0.000604	 -0.003044	 -0.121619	 -0.261545	 9.818303	 0.005480	 0.001853	 -0.003671	 0.060547	 0.472900	 -0.290527
1	 53213.540000	 0.001406	 -0.000418	 -0.003536	 -0.121578	 -0.261538	 9.789019	 0.003680	 -0.001835	 -0.005480	 0.066895	 0.477295	 -0.294678
1	 53213.549600	 0.001577	 -0.000548	 -0.003402	 -0.121075	 -0.289807	 9.847981	 0.003665	 -0.000004	 -0.005492	 0.060303	 0.475098	 -0.296875
1	 53213.549600	 0.000872	 0.000200	 -0.003070	 -0.121587	 -0.260661	 9.818327	 0.001818	 0.001823	 -0.003673	 0.067139	 0.472900	 -0.294678
1	 53213.560000	 0.001971	 -0.000746	 -0.002934	 -0.121583	 -0.260364	 9.818335	 0.005509	 -0.001797	 -0.001817	 0.064941	 0.472900	 -0.292480
1	 53213.570000	 0.002131	 -0.000020	 -0.003486	 -0.121512	 -0.260725	 9.759756	 0.003650	 0.001827	 -0.005503	 0.060303	 0.479492	 -0.288330
1	 53213.579600	 0.001408	 -0.001023	 -0.001927	 -0.121016	 -0.289798	 9.760129	 0.001849	 -0.001850	 -0.005481	 0.062744	 0.470703	 -0.288330
1	 53213.590000	 0.001585	 -0.001141	 -0.001576	 -0.121509	 -0.259185	 9.847652	 0.003664	 0.000007	 -0.003661	 0.064697	 0.475098	 -0.292480
1	 53213.600000	 -0.000000	 0.000000	 -0.000000	 -0.121399	 -0.259180	 9.818369	 0.005509	 -0.001797	 -0.001817	 0.062744	 0.472900	 -0.294678
1	 53213.600000	 -0.002465	 -0.000200	 -0.001365	 -0.120826	 -0.288324	 9.818743	 -0.001827	 -0.000061	 -0.007325	 0.058105	 0.479492	 -0.292480
1	 53213.609600	 -0.002307	 -0.000265	 0.000925	 -0.120814	 -0.288254	 9.818746	 0.003663	 0.000019	 -0.001830	 0.060303	 0.475098	 -0.292480
1	 53213.619600	 -0.001248	 -0.001250	 0.001296	 -0.091410	 -0.287764	 9.789488	 0.005510	 -0.001808	 -0.003648	 0.064941	 0.472900	 -0.288330
1	 53213.629600	 -0.001099	 -0.000551	 -0.000288	 -0.121179	 -0.258593	 9.789102	 0.003651	 0.001815	 -0.007334	 0.062744	 0.470703	 -0.290527
1	 53213.639600	 -0.000929	 0.000205	 0.000034	 -0.121317	 -0.258301	 9.789108	 0.003649	 0.001838	 -0.003672	 0.062744	 0.472900	 -0.290527
1	 53213.649600	 -0.001613	 0.000906	 -0.002833	 -0.092163	 -0.257591	 9.789138	 0.001819	 0.001811	 -0.005504	 0.067383	 0.464355	 -0.288330
1	 53213.649600	 -0.002312	 -0.000123	 -0.003315	 -0.150767	 -0.258059	 9.818385	 0.001849	 -0.001851	 -0.005481	 0.062500	 0.477295	 -0.294678
1	 53213.660000	 -0.002939	 -0.000265	 -0.006052	 -0.120926	 -0.286335	 9.848084	 0.001833	 -0.000008	 -0.003661	 0.064697	 0.475098	 -0.288330
1	 53213.669600	 -0.002764	 -0.001286	 -0.006544	 -0.120808	 -0.286488	 9.818797	 0.003680	 -0.001835	 -0.005480	 0.064697	 0.475098	 -0.292480
1	 53213.679600	 -0.000000	 0.000000	 0.000000	 -0.150167	 -0.286690	 9.818780	 0.003632	 0.003681	 -0.001853	 0.062744	 0.472900	 -0.286133
1	 53213.689600	 0.001059	 -0.000984	 0.000371	 -0.121409	 -0.256908	 9.789143	 0.005511	 -0.001808	 -0.003648	 0.064697	 0.479492	 -0.288330
1	 53213.699600	 0.002085	 -0.001060	 0.003434	 -0.120831	 -0.285753	 9.789535	 0.005495	 0.000023	 -0.003660	 0.058350	 0.470703	 -0.292480
1	 53213.699600	 0.001362	 0.000532	 0.002861	 -0.120970	 -0.285460	 9.789541	 0.001803	 0.003642	 -0.005516	 0.064941	 0.472900	 -0.288330
1	 53213.709600	 0.000692	 -0.000478	 0.000877	 -0.121000	 -0.285695	 9.760251	 0.001849	 -0.001839	 -0.003649	 0.064941	 0.470703	 -0.292480
1	 53213.719600	 -0.000023	 0.000240	 0.000335	 -0.121554	 -0.255501	 9.818463	 0.001818	 0.001811	 -0.005504	 0.060547	 0.470703	 -0.290527
1	 53213.729600	 -0.000672	 0.000100	 -0.002714	 -0.121116	 -0.284646	 9.818847	 0.001833	 -0.000008	 -0.003661	 0.060547	 0.470703	 -0.290527
1	 53213.739600	 -0.000497	 -0.000922	 -0.003206	 -0.092273	 -0.254250	 9.847793	 0.003681	 -0.001835	 -0.005480	 0.062744	 0.472900	 -0.294678
1	 53213.749600	 -0.002060	 0.000652	 -0.006428	 -0.121090	 -0.284281	 9.818858	 -0.000028	 0.003626	 -0.005517	 0.062500	 0.475098	 -0.290527
1	 53213.749600	 -0.001001	 -0.000332	 -0.006057	 -0.091828	 -0.283938	 9.789596	 0.005511	 -0.001807	 -0.003648	 0.066895	 0.475098	 -0.296875
1	 53213.760000	 -0.000000	 -0.000000	 0.000000	 -0.121113	 -0.283999	 9.789582	 0.005479	 0.001855	 -0.003672	 0.062500	 0.475098	 -0.292480
1	 53213.770000	 -0.001589	 0.000711	 -0.000532	 -0.121218	 -0.284165	 9.760292	 -0.000013	 0.001795	 -0.005505	 0.064697	 0.477295	 -0.296875
